research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater01,utility_rater01,originality_rater02,utility_rater02
NAT202401,124,2658,brick,Onderzetter voor pannen,Coaster pans,coaster pans,3,5,,
NAT202401,176,2660,brick,bord,plate,board/plate,2,3,,
NAT202401,180,2660,brick,stempel (met inkt),stamp,stamp,2,3,,
NAT202401,240,2661,brick,iets op tekenen,draw,draw,2,4,,
NAT202401,829,2675,brick,tekenen,draw,draw,2,4,,
NAT202401,963,2676,brick,"in kleine stukjes hakken en dingen doen met de kleine stenen, zoals het maken van kunstwerken",chopping small pieces small stones  making works art,"chop into stones, art",2,3,,
NAT202401,1069,2677,brick,op de stoep tekenen,draw sidewalk,draw,2,4,,
NAT202401,1155,2679,brick,je kunt er een gedicht op schrijven met een woordspeling met 'baksteen' voor een komisch effect,write poem pun brick  comic effect,write poem,2,4,,
NAT202401,1546,2687,brick,onderzetter,coaster,coaster,2,5,,
NAT202401,1550,2687,brick,ermee krijten,chalk,chalk,2,4,,
NAT202401,1725,2690,brick,tekenen ,draw,draw,2,4,,
NAT202401,1896,2693,brick,begruiken als lineaal,ruler,ruler,3,4,,
NAT202401,1979,2694,brick,onderzetter,coaster,coaster,2,5,,
NAT202401,1989,2694,brick,puzzelstukje,puzzle piece,puzzle piece,3,2,,
NAT202401,2059,2695,brick,gebruiken als schrijfgerei,writing utensils,write on,2,4,,
NAT202401,2060,2695,brick,iets erop schrijven,write,write,1,4,,
NAT202401,2319,2699,brick,bord,plate,plate,2,3,,
NAT202401,2321,2699,brick,"herinnering, namen erin schrijven",memory  write names,write,1,4,,
NAT202401,2400,2700,brick,als krijt gebruiken op stoeptegels,chalk paving stones,chalk,2,4,,
NAT202401,2411,2700,brick,als bord gebruiken,plate,plate,2,3,,
NAT202401,2631,2703,brick,op tekenen,drawing,drawing,2,4,,
NAT202401,2765,2704,brick,papier klein maken,make paper small,crush paper,2,3,,
NAT202401,3162,2713,brick,tekenen (krijten),drawing,draw,2,4,,
NAT202401,3165,2713,brick,als onderzetter gebruiken,coaster,coaster,2,5,,
NAT202401,3178,2713,brick,een bericht erin hakken zodat je het als boodschap kan gebruiken,carve message message,carve message,2,3,,
NAT202401,3335,2715,brick,gebruiken als krijt,chalk,chalk,2,4,,
NAT202401,3756,2723,brick,naam van een huisdier in een baksteen beitelen als grafsteentje,chiseling pet s name gravestone,engraving name,2,4,,
NAT202401,3866,2725,brick,om geometrie te leren,learn geometry,learn geometry,2,3,,
NAT202401,3932,2726,brick,stoepkrijt,sidewalk chalk,chalk,2,4,,
NAT202401,3933,2726,brick,notenkraker,nutcracker,nutcracker,3,4,,
NAT202401,4047,2729,brick,gebruiken om de omtrek van een baksteen te tekenen,draw outline,draw rectangle,2,5,,
NAT202401,4312,2739,brick,onderzetter,coaster,coaster,2,5,,
NAT202401,4315,2739,brick,krijt,chalk,chalk,2,5,,
NAT202401,4321,2739,brick,bord,plate,plate,2,3,,
NAT202401,4323,2739,brick,hard object om op te schrijven,hard object write,write,1,4,,
NAT202401,4384,2740,brick,beeld uit hakken ,carve image,carve image,2,3,,
NAT202401,4385,2740,brick,als onderzetter gebruiken ,coaster,coaster,2,5,,
NAT202401,4390,2740,brick,om mee te schrijven op ander steen ,write stone,write on stone,1,4,,
NAT202401,4446,2741,brick,Knutselwerkje kids,Kids craft,kids craft,2,3,,
NAT202401,4498,2742,brick,krijten,chalk,chalk,2,4,,
NAT202401,4562,2745,brick,onderzetter,coaster,coaster,2,5,,
NAT202401,4790,2748,brick,onderzetter voor theemok,coaster tea mug,coaster,2,5,,
NAT202401,4798,2748,brick,als bord om van te eten,plate eat,plate,2,3,,
NAT202401,5061,2753,brick,stoepkrijten op bakstenen,sidewalk chalk,sidewalk chalk,3,4,,
NAT202401,5101,2754,brick,schrijven,write,write,1,4,,
NAT202401,5212,2757,brick,je kan er op turven/schrijven ,countwrite,countwrite,1.4,4,,
NAT202401,5264,2758,brick,er op tekenen en het als kunst neerzetten,draw portray art,draw art,2,4,,
NAT202401,5322,2759,brick,in verf dopen en gebruiken als stempel,dip paint stamp,stamp ,2,3,,
NAT202401,5383,2760,brick,krijten,chalk,chalk,2,4,,
NAT202401,5542,2762,brick,tekst of tekeningen in kerven ,carve text drawings,carve text drawings,2,3,,
NAT202401,5543,2762,brick,op tekenen met stoepkrijt ,drawing sidewalk chalk,sidewalk chalk drawing,3,4,,
NAT202401,5709,2766,brick,erop stoepkruiten,sidewalk powder,sidewalk chalk,3,4,,
NAT202401,5887,2768,brick,je kunt erop krijten,chalk,chalk,2,4,,
NAT202401,5929,2771,brick,Onderzetter,Coaster,coaster,2,5,,
NAT202401,6025,2774,brick,als bord,plate,plate,2,3,,
NAT202401,6286,2779,brick,motief leggen,laying motif,laying motif,1,3,,
NAT202401,6422,2781,brick,"in verschillende kleuren schilderen om kinderen mee te leren rekenen, ahw als telraam",painting different colors teach children count  abacus,abacus for children,4,2,,
NAT202401,6520,2784,brick,als onderzetter,coaster,coaster,2,5,,
NAT202401,6645,2786,brick,rechthoek mal vorm,rectangle mold shape,rectangle mold,2,3,,
NAT202401,6727,2787,brick,Als onderzetter voor hete pannen,coaster hot pans,coaster hot pans,2,5,,
NAT202401,6845,2789,brick,om mee te schrijven op steen,write stone,write,1,4,,
NAT202401,7012,2792,brick,als onderzetter gebruiken,coaster,coaster,2,5,,
NAT202401,7063,2793,brick,krijten,chalk,chalk,2,4,,
NAT202401,7166,2794,brick,krijtje,chalk,chalk,2,4,,
NAT202401,7175,2794,brick,bord,plate,plate,2,3,,
NAT202401,7238,2795,brick,tanden vijlen,filing teeth,filing teeth,3,1,,
NAT202401,7240,2795,brick,er op tekenen,draw,draw,2,4,,
NAT202401,7252,2795,brick,"breken, in elkaar zetten als puzzel",break  put together puzzle,puzzle game with broken pieces,3,3,,
NAT202401,7327,2796,brick,gebruiken om papier onder te bewaren ,store paper,paper storage,2,5,,
NAT202401,7332,2796,brick,In een beeldje hakken,Carving statue,carving statue,2,3,,
NAT202401,7416,2800,brick,als bord,plate,plate,2,3,,
NAT202401,7495,2802,brick,Om mee te stoepkrijten,sidewalk chalk,sidewalk chalk,3,4,,
NAT202401,7555,2805,brick,schrijf voorwerp,write object,write,1,4,,
NAT202401,7557,2805,brick,als vijl,file,file,1,3,,
NAT202401,7560,2805,brick,als bord,plate,plate,2,3,,
NAT202401,7722,2813,brick,schrijven ,write,write,1,4,,
NAT202401,7819,2814,brick,Gebruiken om in de verf te dopen en mee te stempelen,dip paint stamp,paint stamp,3,3,,
NAT202401,8379,2823,brick,Creating lines,Creating lines,creating lines,1.7,4,,
NAT202401,8623,2827,brick,het gebruiken als bord ,plate,plate,2,3,,
NAT202401,16000,2830,brick,splinteren,sliver,sliver,2,2,,
NAT202401,8762,2830,brick,versnipperen,shred,shred,2,2,,
NAT202401,8819,2831,brick,je kan erop schrijven,write,write,1,4,,
NAT202401,8831,2831,brick,Misschien kan je er krijt mee maken,Maybe make chalk,chalk,2,4,,
NAT202401,8895,2832,brick,het gebuiken als onderzetter,coaster,coaster,2,5,,
NAT202401,8898,2832,brick,gebruiken als onderzetter voor een plant,coaster plant,coaster for plant,2,5,,
NAT202401,9022,2836,brick,krijten op de grond of muur,chalk ground wall,chalk,2,4,,
NAT202401,9093,2837,brick,stoepkrijt,sidewalk chalk,sidewalk chalk,3,4,,
NAT202401,9101,2837,brick,schrift,writing,writing,2,4,,
NAT202401,9172,2838,brick,als krijt,chalk,chalk,2,4,,
NAT202401,9365,2842,brick,Als verzendmiddel over bv een goot (door er een briefje op te plakken),means sending  example  gutter,send letter,1.4,2,,
NAT202401,9449,2844,brick,krijtrn,chalkrn,chalk,2,4,,
NAT202401,9606,2846,brick,notenkraker,nutcracker,nutcracker,3,4,,
NAT202401,9656,2847,brick,vierkant,square,square outline,1,5,,
NAT202401,9664,2847,brick,tekenen met baksteen,drawing,drawing,2,4,,
NAT202401,9666,2847,brick,baksteen schaven en met het schaafsel tekenen,planing drawing shavings,drawing,2,4,,
NAT202401,9668,2847,brick,krijten op een baksteen,chalking,chalk,2,4,,
NAT202401,9777,2851,brick,vierkant,square,square outline,1,5,,
NAT202401,9861,2852,brick,Gebruiken als krijt ,chalk,chalk,2,4,,
NAT202401,9863,2852,brick,op stoepkrijten ,sidewalk chalk,sidewalk chalk,3,4,,
NAT202401,9928,2854,brick,onderzetter,coaster,coaster,2,5,,
NAT202401,9934,2854,brick,skateboard,skateboard,skateboard,2,1,,
NAT202401,9935,2854,brick,surfplank,surfboard,surfboard,3,1,,
NAT202401,10084,2857,brick,een gedichtje erom schrijven,write poem,write a poem about it,2,4,,
NAT202401,10300,2864,brick,als krijt gebruiken ,chalk,chalk,2,4,,
NAT202401,10403,2868,brick,om erop te tekenen,draw,draw,2,4,,
NAT202401,10444,2869,brick,om iets op te schrijven,write,write,1,4,,
NAT202401,10495,2870,brick,"je kan er iets in uithakken, en dan wordt het een soort medium om iets op te schrijven of tekenen",carve  becomes kind medium write draw,"carve, write, draw",2,4,,
NAT202401,10633,2874,brick,als bord gebruiken,plate,plate,2,3,,
NAT202401,10800,2876,brick,ingraveren,engrave,engrave,2,3,,
NAT202401,10914,2878,brick,als onderzetter om iets hoger te maken oid,coaster make higher,coaster,2,5,,
NAT202401,10975,2879,brick,met een liefdesbrief eromheen door een raam gooien,throw window love letter wrapped around,send love letter by throwing,3,4,,
NAT202401,11034,2880,brick,als onderzetter,coaster,coaster,2,5,,
NAT202401,11041,2880,brick,ermee stoepkrijten,sidewalk chalk,sidewalk chalk,3,4,,
NAT202401,11108,2881,brick,bord,plate,plate,2,3,,
NAT202401,11191,2882,brick,als onderzetter,coaster,coaster,2,5,,
NAT202401,11193,2882,brick,als bord,plate,plate,2,3,,
NAT202401,11356,2884,brick,Gebruiken als vorm om te tekenen (potlood er omheen trekken voor een vorm),shape drawing,stencil for shape outline,3,5,,
NAT202401,11360,2884,brick,Als onderzetter gebruiken,coaster,coaster,2,5,,
NAT202401,11369,2884,brick,Op tekenen,drawing,drawing,2,4,,
NAT202401,11370,2884,brick,Gebruiken als bord,plate,plate,2,3,,
NAT202401,11723,2904,brick,gebruik het als lineaal,ruler,ruler,3,5,,
NAT202401,11724,2904,brick,gebruik het om mooie/gelijke hoeken te tekenen,draw niceequal angles,draw angles,2,5,,
NAT202401,12018,2911,brick,graveren ,engrave,engrave,2,3,,
NAT202401,12019,2911,brick,letters in graveren ,engrave letters,engrave letters,2,3,,
NAT202401,12020,2911,brick,op schrijven ,write,write,1,4,,
NAT202401,12162,2912,brick,patronen maken,making patterns,making patterns,2,4,,
NAT202401,12230,2913,brick,krijten,chalk,chalk,2,4,,
NAT202401,12238,2913,brick,onderzetter voor iets,coaster,coaster,2,5,,
NAT202401,12525,2918,brick,liniaal,ruler,ruler,3,5,,
NAT202401,12708,2920,brick,als krijt,chalk,chalk,2,4,,
NAT202401,12789,2922,brick,aan kinderen geven om mee te knutselen//bouwen,give children craftsbuild,children craft toy,2,3,,
NAT202401,12852,2923,brick,bord,plate,plate,2,3,,
