response_id,research_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater02,utility_rater02
23651,CES201911,1989,brick,een,,a minus seems good,0,0
25670,CES201911,2093,brick,door,,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,0
25778,CES201911,2099,brick,54,,indicate,0,0
29204,CES201911,2255,brick,???,,touch,0,0
30292,CES201911,2303,brick,maken,,abortion instrument,0,0
31408.5,CES201911,2342,brick, gebruiken als ,,action figure,0,0
23579,CES201911,1964,brick,2 a 4 min lijkt me ook goed.,a min lijkt goed,demarcation,0,0
29295,CES201911,2258,brick,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,break down,0,0
24412,CES201911,2034,brick,aangeven,aangeven,hacker,2,5
24184,CES201911,2020,brick,aanraken,aanraken,shielding,2,5
27838,CES201911,2177,brick,abortus instrument,abortus instrument,scare,2,3
32302,CES201911,2370,brick,actionfigure,actionfigure,barrier block,4,3
27709,CES201911,2171,brick,afbakening,afbakening,altar,1,4
24191,CES201911,2020,brick,afbreken,afbreken,alternative key door,1,3
31628,CES201911,2349,brick,afhakker,afhakker,Amsterdam,3,4
31108,CES201911,2332,brick,afscherming,afscherming,build different,1,4
30027,CES201911,2293,brick,iets afschrikken,afschrikken,other build wall,3,3
28055.4,CES201911,2191,brick, afzetblok,afzetblok,anchor,2,4
31489,CES201911,2345,brick,als altaar,altaar,anchor,4,5
28446,CES201911,2213,brick,alternatieve sleutel voor een deur,alternatieve sleutel deur,anchor,4,2
30522,CES201911,2313,brick,amsterdam,amsterdam,anchor small boat,0,0
28406,CES201911,2210,brick,iets anders bouwen,anders bouwen,archaeological object,1,5
31779,CES201911,2355,brick,iets anders dan een muurtje mee bouwen,anders muurtje bouwen,architecture,1,5
