research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater02,utility_rater02
CES201606,2084.1,51,paperclip,van alles,,,0,0
CES201606,1084,25,paperclip,armband,armband,bracelet,3,4
CES201606,1082,25,paperclip,armband/ketting sluiter,armband ketting sluiter,bracelet chain shutter,3,4
CES201606,320,14,paperclip,armbandje maken kan ook,armbandje,bracelet,3,4
CES201606,546,17,paperclip,bakken,bakken,baking,3,2
CES201606,1329,30,paperclip,2 bakstenen,bakstenen,brick,0,0
CES201606,1847,46,paperclip,ballon lek prikker,ballon lek prikker,balloon puncture stick,2,5
CES201606,1850,46,paperclip,beeldscherm bekrasser,beeldscherm bekrassen,scratch screen,2,5
CES201606,548,17,paperclip,begraven,begraven,bury,2,4
CES201606,1043,24,paperclip,beha bandjes bij elkaar houden,beha bandjes elkaar houden,bra straps hold together,3,5
CES201606,931,23,paperclip,boekenlegger,boekenlegger,bookmark,3,5
CES201606,2028,49,paperclip,boekenlegger,boekenlegger,bookmark,3,5
CES201606,1671,43,paperclip,boterhamzaksluitclipje,boterhamzak sluit clipje,sandwich bag closing clip,2,5
CES201606,544,17,paperclip,breken,breken,break,2,4
CES201606,1853,46,paperclip,capo,capo,capo,4,2
CES201606,481,16,paperclip,decoratie,decoratie,decoration,3,3
CES201606,1227,28,paperclip,om een deur mee open te krijgen,deur open krijgen,get door open,2,4
CES201606,404,15,paperclip,deurenopener (dief),deurenopener,door opener,2,4
CES201606,932,23,paperclip,deuropener,deuropener,door opener,2,4
CES201606,1081.1,25,paperclip,als ding om een rits mee open te maken,ding rits open,thing zip open,2,5
CES201606,2086.1,51,paperclip,twee dingen aan elkaar maken,dingen elkaar,things together,1,5
CES201606,1930,47,paperclip,draden bijelkaar houden,draden elkaar houden,wires hold together,2,5
CES201606,1186,27,paperclip,op op iets te drukken waar je vingers te dik voor zijn,drukken waar vingers dik,pressing where fingers thick,3,5
CES201606,1845,46,paperclip,eetgerij,eetgerei,eating utensils,3,3
CES201606,1324,30,paperclip,elastiek,elastiek,elastic,3,1
CES201606,1089,25,paperclip,elektriciteitsgeleider,elektriciteitsgeleider,electricity conductor,4,4
CES201606,1231,28,paperclip,om iemand te elektrocuteren om de paperclip in het stopcontact te doen,elektrocuteren paperclip stopcontact,electrocute paper clip socket,4,4
CES201606,2068,50,paperclip,uit elkaar halen tot een lange ijzerdraad en je tanden ermee stokeren,elkaar halen lange ijzerdraad tanden stoken,stick together long iron wire teeth,4,3
CES201606,1229,28,paperclip,iets aan elkar te hechten,elkaar hechten,attach together,4,4
CES201606,2065,50,paperclip,ze aan elkaar rijgen: ketting,elkaar rijgen ketting,string together necklace,3,4
CES201606,828,20,paperclip,uit elkaar trekken en je iphone simkaart ermee verwijderen,elkaar trekken iPhone simkaart verwijderen,pull together remove iPhone SIM card,3,5
CES201606,939,23,paperclip,aan elkaar vast gemaakt en dan een riem ,elkaar vast gemaakt riem,belt fastened together,4,3
CES201606,832,20,paperclip,envelop afsluiten,envelop afsluiten,close envelope,2,5
CES201606,1726,44,paperclip,Ergens gaatjes in prikken,ergens gaatjes prikken,poke holes somewhere,2,5
CES201606,1514,38,paperclip,figuren van vouwen,figuren vouwen,folding figures,3,4
CES201606,962,22,paperclip,je kunt er een fotohouder van maken,fotohouder,photo holder,3,5
CES201606,318,14,paperclip,om een gaatje mee te maken,gaatje,hole,2,5
CES201606,1042,24,paperclip,gaatjes prikken,gaatjes prikken,poke holes,2,5
CES201606,1552,39,paperclip,gaatjes in iets prikken,gaatjes prikken,poke holes,2,5
CES201606,1322,30,paperclip,garen,garen,yarn,3,4
CES201606,1771,45,paperclip,geleider,geleider,conductor,4,4
CES201606,2066,50,paperclip,in een glazen bolletje en verhitten: gloeilamp,glazen bolletje verhitten gloeilamp,glass ball heating light bulb,4,4
CES201606,541,17,paperclip,gooien,gooien,throw,2,3
CES201606,716,19,paperclip,je kan ermee gooien,gooien,throw,2,3
CES201606,936,23,paperclip,gordijnophanger daar bovenin,gordijn ophangen bovenin,hang curtain at top,3,5
CES201606,186,12,paperclip,gordijnenclips,gordijnenclips,curtain clips,3,5
CES201606,322,14,paperclip,je gulp mee vastmaken als die kapot is!,gulp vastmaken kapot,fly fastening broken,2,5
CES201606,408,15,paperclip,haakje,haakje,hook,2,4
CES201606,1634,42,paperclip,Als haarclip gebruiken,haar clip,hair clip,2,4
CES201606,1766,45,paperclip,haarclip,haar clip,hair clip,2,4
CES201606,188,12,paperclip,haarklipje,haar clipje,hair clip,2,4
CES201606,313,14,paperclip,als haarclipje,haar clipje,hair clip,2,4
CES201606,187,12,paperclip,haarelastiekje,haar elastiekje,hair rubber band,3,4
CES201606,2087,51,paperclip,in je haar als een speltje,haar speldje,hair pin,2,4
CES201606,2027,49,paperclip,haarspelt,haarspeld,Bobby pin,2,4
CES201606,1275,29,paperclip,haarspeldje,haarspeldje,hairclip,2,4
CES201606,1461,37,paperclip,haarspeldje,haarspeldje,hairclip,2,4
CES201606,1550,39,paperclip,als haarspeldje ,haarspeldje,hairclip,2,4
CES201606,1589,40,paperclip,haarspeldje,haarspeldje,hairclip,2,4
CES201606,1724,44,paperclip,Als haarspeldje,haarspeldje,hairclip,2,4
CES201606,1081.2,25,paperclip, dat handvat,handvat,handle,3,2
CES201606,1080.1,25,paperclip,om iets aan op te hangen,hangen,hang,2,4
CES201606,248,13,paperclip,als hangertje gebruiken ,hangertje,pendant,2,4
CES201606,315,14,paperclip,als hangertje aan een ketting,hangertje ketting,pendant necklace,2,4
CES201606,718,19,paperclip,heel veel aan elkaar rijgen en dan als slinger gebruiken,heel elkaar rijgen slinger,whole stringing garland,4,4
CES201606,717,19,paperclip,je kan heel veel in een pot stoppen als versiering,heel pot stoppen versiering,very pot stopper decoration,4,4
CES201606,321,14,paperclip,of helemaal uit elkaar halen en dan maak je een ring,helemaal elkaar halen maak ring,completely put together to make ring,3,4
CES201606,1427,36,paperclip,horloges repareren,horloges repareren,repair watches,3,4
CES201606,480,16,paperclip,ijzerdraad,ijzerdraad,iron wire,2,5
